id,full_name,short_name,division_id,district,state
46,ADRAJ MOTI,AJM,16,GANDHINAGAR,GUJARAT
47,AMBLI ROAD,ABD,16,AHMADABAD,GUJARAT
48,AMBLIYASAN,UMN,16,MAHESANA,GUJARAT
49,ASARVA JN.,ASV,16,AHMADABAD,GUJARAT
50,BHABHAR,BAH,16,BANAS KANTHA,GUJARAT
51,BHANDU-MOTIDAU,BHU,16,MAHESANA,GUJARAT
52,BHANKODA,BKD,16,AHMADABAD,GUJARAT
53,BHILDI JN.,BLDI,16,BANAS KANTHA,GUJARAT
54,BHIMASAR,BMSR,16,KACHCHH,GUJARAT
55,Bhoyani,BHAN,16,MAHESANA,GUJARAT
56,BHUTAKIYA BHIMASAR,BUBR,16,KACHCHH,GUJARAT
57,CHANDISAR,CDS,16,BANAS KANTHA,GUJARAT
58,CHANDKHEDA ROAD,CDK,16,AHMADABAD,GUJARAT
59,CHHANSARA,CASA,16,PATAN,GUJARAT
60,CHHAPI,CHP,16,BANAS KANTHA,GUJARAT
61,CHHARODI,CE,16,AHMADABAD,GUJARAT
62,CHIRAI,CHIB,16,KACHCHH,GUJARAT
63,CHITROD,COE,16,KACHCHH,GUJARAT
64,DABHODA,DBO,16,GANDHINAGAR,GUJARAT
65,DANGARWA,DNW,16,MAHESANA,GUJARAT
66,DEVGAM,DVGM,16,BANAS KANTHA,GUJARAT
67,DHANAKWADA,DKW,16,BANAS KANTHA,GUJARAT
68,DHAREWADA,DRW,16,BANAS KANTHA,GUJARAT
69,DHINOJ,DHJ,16,PATAN,GUJARAT
70,DISA,DISA,16,BANAS KANTHA,GUJARAT
71,DIYODAR,DEOR,16,BANAS KANTHA,GUJARAT
72,GARMADI,GM,16,PATAN,GUJARAT
73,HALVAD,HVD,16,MORBI,GUJARAT
74,HIMMATNAGAR,HMT,16,SABAR KANTHA,GUJARAT
75,IDAR,IDAR,16,SABAR KANTHA,GUJARAT
76,JAGUDAN,JDN,16,MAHESANA,GUJARAT
77,JAKHVADA,JKA,16,AHMADABAD,GUJARAT
78,JAKSI,JKS,16,AHMADABAD,GUJARAT
79,JASALI,JSI,16,BANAS KANTHA,GUJARAT
80,JHULASAN,JUL,16,MAHESANA,GUJARAT
81,JOTANA,JTN,16,MAHESANA,GUJARAT
82,Kadi,KADI,16,MAHESANA,GUJARAT
83,KAMLI,KMLI,16,MAHESANA,GUJARAT
84,KATOSAN- ROAD,KTRD,16,AHMADABAD,GUJARAT
85,KHODIYAR,KHD,16,AHMADABAD,GUJARAT
86,KIDIYANAGAR,KYG,16,KACHCHH,GUJARAT
87,KUKMA,KEMA,16,KACHCHH,GUJARAT
88,LAKADIYA,LKZ,16,KACHCHH,GUJARAT
89,LAKHAPAT,LAA,16,KACHCHH,GUJARAT
90,LINCH,LCH,16,MAHESANA,GUJARAT
91,LORWADA,LW,16,BANAS KANTHA,GUJARAT
92,MALIYA MIYANA JN,MALB,16,MORBI,GUJARAT
93,MITHA,MITA,16,BANAS KANTHA,GUJARAT
94,NANDOL DAHEGAM,NHM,16,GANDHINAGAR,GUJARAT
95,NARODA,NRD,16,AHMADABAD,GUJARAT
96,PADAMPUR,PDF,16,KACHCHH,GUJARAT
97,PIPLEE,PLE,16,PATAN,GUJARAT
98,PIPRALA,PFL,16,PATAN,GUJARAT
99,PRANTIJ,PRJ,16,SABAR KANTHA,GUJARAT
100,RADHANPUR,RDHP,16,PATAN,GUJARAT
101,RAKHIYAL,RKH,16,GANDHINAGAR,GUJARAT
102,RANUJ (JN),RUJ,16,PATAN,GUJARAT
103,RATNAL,RUT,16,KACHCHH,GUJARAT
104,SANAND,SAU,16,AHMADABAD,GUJARAT
105,SANTALPUR,SNLR,16,PATAN,GUJARAT
106,SARDARGRAM,SDGM,16,AHMADABAD,GUJARAT
107,SHIVALAKHA,SIA,16,KACHCHH,GUJARAT
108,SONASAN.,SNSN,16,SABAR KANTHA,GUJARAT
109,TALOD,TOD,16,SABAR KANTHA,GUJARAT
110,UMARDESHI,UM,16,BANAS KANTHA,GUJARAT
111,VADNAGAR,VDG,16,MAHESANA,GUJARAT
112,VAGHPURA,VU,16,PATAN,GUJARAT
113,VARAHI,VRX,16,PATAN,GUJARAT
114,VATVA,VTA,16,AHMADABAD,GUJARAT
115,VIJAPUR,VJF,16,MAHESANA,GUJARAT
116,VISNAGAR,VNG,16,MAHESANA,GUJARAT
